tanggal,ph,temperature,turbinity,label
2023-06-08 20:21:33,4.56,26.37,4,sedang
2023-06-08 20:21:38,4.62,26.37,4,sedang
2023-06-08 20:21:44,4.98,26.31,4,sedang
2023-06-08 20:21:50,5.83,26.31,4,sedang
2023-06-08 20:21:56,5.41,26.31,6,bersih
2023-06-08 20:22:01,5.59,26.31,6,bersih
2023-06-08 20:22:07,5.59,26.31,6,bersih
2023-06-08 20:22:13,4.61,26.31,6,bersih
2023-06-08 20:22:18,4.56,26.31,6,bersih
2023-06-08 20:22:24,5.38,26.31,6,bersih
2023-06-08 20:22:30,5.59,26.31,6,bersih
2023-06-08 20:22:35,5.06,26.31,6,bersih
2023-06-08 20:22:41,4.66,26.31,6,bersih
2023-06-08 20:22:47,4.94,26.31,6,bersih
2023-06-08 20:22:52,5.67,26.31,6,bersih
2023-06-08 20:22:58,4.77,26.31,6,bersih
2023-06-08 20:23:04,5.51,26.31,6,bersih
2023-06-08 20:23:10,5.58,26.31,6,bersih
2023-06-08 20:23:15,5.33,26.31,6,bersih
2023-06-08 20:23:21,4.69,26.31,6,bersih
2023-06-08 20:23:27,5.59,26.31,6,bersih
2023-06-08 20:23:32,5.37,26.31,6,bersih
2023-06-08 20:23:38,4.77,26.31,6,bersih
2023-06-08 20:23:44,4.89,26.31,6,bersih
2023-06-08 20:23:49,5.61,26.31,6,bersih
2023-06-08 20:23:55,5.51,26.31,6,bersih
2023-06-08 20:24:01,4.8,26.31,6,bersih
2023-06-08 20:24:07,4.65,26.31,6,bersih
2023-06-08 20:24:13,4.62,26.31,5,bersih
2023-06-08 20:24:19,5.09,26.31,6,bersih
2023-06-08 20:24:25,5.47,26.31,6,bersih
2023-06-08 20:24:31,5.69,26.31,5,bersih
2023-06-08 20:24:37,5.59,26.31,6,bersih
2023-06-08 20:24:42,4.68,26.31,6,bersih
2023-06-08 20:24:48,4.8,26.31,5,bersih
2023-06-08 20:24:54,5.28,26.31,5,bersih
2023-06-08 20:25:00,5.54,26.31,5,bersih
2023-06-08 20:25:06,5.68,26.31,5,bersih
2023-06-08 20:25:12,5.31,26.31,5,bersih
2023-06-08 20:25:18,4.6,26.31,6,bersih
2023-06-08 20:25:23,4.7,26.31,5,bersih
2023-06-08 20:25:29,5.62,26.31,6,bersih
2023-06-08 20:25:35,5.63,26.31,5,bersih
2023-06-08 20:25:41,5.73,26.31,6,bersih
2023-06-08 20:25:47,5.65,26.31,5,bersih
2023-06-08 20:25:52,5.28,26.31,5,bersih
2023-06-08 20:25:58,4.78,26.31,5,bersih
2023-06-08 20:26:04,4.78,26.31,5,bersih
2023-06-08 20:26:10,4.75,26.31,5,bersih
2023-06-08 20:26:16,4.72,26.31,5,bersih
2023-06-08 20:26:22,4.93,26.31,5,bersih
2023-06-08 20:26:27,5.16,26.31,6,bersih
2023-06-08 20:26:33,5.63,26.31,6,bersih
2023-06-08 20:26:39,5.66,26.31,6,bersih
2023-06-08 20:26:45,5.66,26.31,6,bersih
2023-06-08 20:26:51,5.5,26.31,6,bersih
2023-06-08 20:26:57,5.31,26.31,6,bersih
2023-06-08 20:27:02,5.09,26.31,6,bersih
2023-06-08 20:27:09,4.89,26.31,6,bersih
2023-06-08 20:27:14,5.57,26.31,6,bersih
2023-06-08 20:27:20,5.28,26.31,6,bersih
2023-06-08 20:27:26,5.57,26.31,6,bersih
2023-06-08 20:27:32,5.04,26.31,6,bersih
2023-06-08 20:27:37,4.98,26.31,6,bersih
2023-06-08 20:27:43,4.65,26.31,6,bersih
2023-06-08 20:27:49,5.55,26.31,6,bersih
2023-06-08 20:27:54,5.37,26.31,6,bersih
2023-06-08 20:28:00,4.72,26.31,6,bersih
2023-06-08 20:28:06,5.73,26.31,6,bersih
2023-06-08 20:28:11,5.24,26.31,6,bersih
2023-06-08 20:28:17,4.9,26.31,6,bersih
2023-06-08 20:28:23,5.65,26.31,6,bersih
2023-06-08 20:28:28,5.86,26.31,6,bersih
2023-06-08 20:28:34,4.93,26.31,6,bersih
2023-06-08 20:28:40,5.04,26.31,6,bersih
2023-06-08 20:28:46,5.7,26.31,6,bersih
2023-06-08 20:28:51,4.96,26.31,6,bersih
2023-06-08 20:28:57,4.89,26.31,6,bersih
2023-06-08 20:29:03,4.78,26.31,6,bersih
2023-06-08 20:29:08,5.41,26.31,6,bersih
2023-06-08 20:29:14,5.7,26.31,6,bersih
2023-06-08 20:29:20,4.89,26.31,6,bersih
2023-06-08 20:29:25,4.79,26.31,6,bersih
2023-06-08 20:29:31,5.15,26.31,6,bersih
2023-06-08 20:29:37,5.42,26.31,6,bersih
2023-06-08 20:29:42,4.89,26.31,6,bersih
2023-06-08 20:29:48,5.6,26.31,6,bersih
2023-06-08 20:29:54,5.81,26.31,6,bersih
2023-06-08 20:30:00,4.8,26.31,6,bersih
2023-06-08 20:30:05,5.65,26.31,6,bersih
2023-06-08 20:30:12,5.28,26.31,6,bersih
2023-06-08 20:30:18,5.71,26.31,5,bersih
2023-06-08 20:30:24,4.84,26.31,6,bersih
2023-06-08 20:30:30,5.04,26.31,5,bersih
2023-06-08 20:30:35,4.74,26.31,6,bersih
2023-06-08 20:30:41,4.89,26.31,5,bersih
2023-06-08 20:30:47,5.74,26.31,5,bersih
2023-06-08 20:30:53,5.57,26.31,5,bersih
2023-06-08 20:30:59,4.8,26.31,6,bersih
2023-06-08 20:31:05,4.79,26.31,5,bersih
2023-06-08 20:31:10,5.73,26.31,5,bersih
2023-06-08 20:31:16,5.79,26.31,5,bersih
2023-06-08 20:31:22,5.67,26.31,5,bersih
2023-06-08 20:31:28,5.76,26.31,6,bersih
2023-06-08 20:31:34,4.83,26.31,6,bersih
2023-06-08 20:31:40,4.85,26.31,6,bersih
2023-06-08 20:31:45,5.68,26.31,5,bersih
2023-06-08 20:31:51,5.57,26.31,6,bersih
2023-06-08 20:31:57,4.93,26.31,6,bersih
2023-06-08 20:32:03,5.73,26.31,5,bersih
2023-06-08 20:32:09,5.08,26.31,5,bersih
2023-06-08 20:32:14,4.78,26.31,5,bersih
2023-06-08 20:32:20,5.81,26.31,5,bersih
2023-06-08 20:32:26,4.8,26.31,6,bersih
2023-06-08 20:32:32,5.09,26.31,5,bersih
2023-06-08 20:32:38,5.74,26.31,6,bersih
2023-06-08 20:32:44,4.8,26.31,5,bersih
2023-06-08 20:32:50,5.62,26.31,5,bersih
2023-06-08 20:32:55,5.62,26.31,6,bersih
2023-06-08 20:33:01,4.97,26.31,5,bersih
2023-06-08 20:33:07,4.8,26.31,5,bersih
2023-06-08 20:33:14,4.85,26.31,6,bersih
2023-06-08 20:33:20,4.84,26.31,6,bersih
2023-06-08 20:33:25,4.88,26.31,5,bersih
2023-06-08 20:33:31,5.0,26.31,5,bersih
2023-06-08 20:33:37,5.08,26.31,5,bersih
2023-06-08 20:33:43,4.85,26.31,6,bersih
2023-06-08 20:33:49,4.81,26.31,5,bersih
2023-06-08 20:33:54,4.9,26.31,5,bersih
2023-06-08 20:34:00,4.93,26.31,5,bersih
2023-06-08 20:34:06,4.81,26.31,5,bersih
2023-06-08 20:34:12,4.93,26.31,5,bersih
2023-06-08 20:34:18,5.03,26.31,6,bersih
2023-06-08 20:34:24,5.02,26.31,6,bersih
2023-06-08 20:34:29,4.98,26.31,5,bersih
2023-06-08 20:34:35,4.94,26.31,5,bersih
2023-06-08 20:34:41,5.05,26.31,6,bersih
2023-06-08 20:34:47,5.06,26.31,6,bersih
2023-06-08 20:34:53,4.93,26.31,5,bersih
2023-06-08 20:34:59,5.1,26.31,5,bersih
2023-06-08 20:35:04,5.07,26.31,6,bersih
2023-06-08 20:35:11,5.62,26.31,5,bersih
2023-06-08 20:35:17,5.63,26.31,6,bersih
2023-06-08 20:35:23,5.53,26.31,5,bersih
2023-06-08 20:35:29,5.55,26.31,6,bersih
2023-06-08 20:35:35,5.77,26.31,5,bersih
2023-06-08 20:35:41,5.74,26.25,5,bersih
2023-06-08 20:35:46,5.9,26.31,5,bersih
2023-06-08 20:35:52,5.9,26.25,6,bersih
2023-06-08 20:35:58,5.87,26.25,6,bersih
2023-06-08 20:36:04,5.91,26.31,5,bersih
2023-06-08 20:36:10,5.86,26.31,6,bersih
2023-06-08 20:36:16,5.86,26.31,6,bersih
2023-06-08 20:36:22,5.86,26.25,6,bersih
2023-06-08 20:36:28,5.88,26.31,6,bersih
2023-06-08 20:36:33,5.67,26.31,6,bersih
2023-06-08 20:36:39,4.93,26.25,6,bersih
2023-06-08 20:36:45,4.8,26.31,6,bersih
2023-06-08 20:36:50,5.28,26.31,6,bersih
2023-06-08 20:36:56,5.83,26.25,6,bersih
2023-06-08 20:37:02,5.0,26.25,6,bersih
2023-06-08 20:37:08,4.85,26.25,6,bersih
2023-06-08 20:37:13,5.86,26.31,6,bersih
2023-06-08 20:37:19,4.84,26.25,6,bersih
2023-06-08 20:37:25,5.72,26.25,6,bersih
2023-06-08 20:37:30,5.7,26.25,6,bersih
2023-06-08 20:37:36,5.81,26.25,5,bersih
2023-06-08 20:37:42,5.33,26.25,6,bersih
2023-06-08 20:37:47,4.88,26.25,6,bersih
2023-06-08 20:37:53,5.85,26.25,6,bersih
2023-06-08 20:37:59,4.97,26.25,6,bersih
2023-06-08 20:38:05,5.09,26.25,6,bersih
